Restaurant,Food Type,Food Menu,Location,Reviews,Stars
Sushi Vũ Online,"['Bún', 'Món nhậu', 'Chay']","['Bún đậu mắm tôm', 'Gà rang muối', 'Đậu phụ lướt ván', 'Bún mọc', 'Ếch xào sả ớt', 'Bún ngan', 'Bún cá']","34 Đường Kim Mã, Nam Từ Liêm, Hà Nội","['Rất hài lòng. không gian thoáng đãng chắc chắn sẽ giới thiệu cho bạn bè.', 'Đồ ăn ngon, giá cả hợp lý sẽ ủng hộ dài dài.']",5.0
The Trương's Spot,['Fast Food'],"['Khoai Tây Chiên', 'Hotdog', 'Hamburger']","105 Phố Xã Đàn, Phú Nhuận, TP. Hồ Chí Minh","['Đáng thử', 'Không chê vào đâu được. giá cả hợp lý sẽ ủng hộ dài dài.', 'Quán này đỉnh! giá cả hợp lý chắc chắn sẽ giới thiệu cho bạn bè.']",4.4
Góc Võ,['Đồ ăn vặt'],['Bánh tráng trộn'],"109 Phố Cổ, Bắc Từ Liêm, Hà Nội",['Ngon xuất sắc! không gian thoáng đãng 10 điểm không có nhưng.'],4.1
Phở Online,"['Bún', 'Cơm văn phòng']","['Cơm thịt luộc cà pháo', 'Bún ốc', 'Cơm gà xối mỡ', 'Bún ngan', 'Cơm sườn', 'Cơm đùi gà']","183 Đường Thanh Niên, Thanh Xuân, Hà Nội","['Đồ ăn ngon, đậm đà hương vị rất đáng tiền.', 'Siu ngon lun']",4.9
The Phan's Spot,['Đồ nước'],"['Mì Quảng', 'Bún riêu cua', 'Hủ tiếu Nam Vang', 'Phở gà']","24 Phố Hàng Bài, Gia Lâm, Hà Nội",['Không hài lòng chút nào. trải nghiệm tồi tệ.'],2.4
Pizza Lê Truyền Thống,['Cơm nhà'],"['Thịt rang cháy cạnh', 'Canh cua rau đay', 'Đậu sốt cà chua', 'Rau muống xào tỏi']","47 Đường Giải Phóng, Hà Đông, Hà Nội","['Rất hài lòng. chất lượng tuyệt hảo', 'Siu ngon lun']",4.9
Tiệm Online,"['Món nhậu', 'Món Nhật']","['Lòng xào dưa', 'Ramen', 'Ếch xào sả ớt']","120 Phố Bà Triệu, Ven Sông, Vũng Tàu","['Đồ ăn ngon, trình bày đẹp mắt rất đáng tiền.', 'Rất ổn']",4.5
Nhà hàng Hồ Đặc Sản,['Đồ ăn vặt'],"['Bánh tráng trộn', 'Chè các loại', 'Xoài lắc']","182 Phố Xã Đàn, Bắc Từ Liêm, Hà Nội",['Rất hài lòng. phục vụ nhiệt tình'],4.6
Chả Cá Hồ Phố,['Hải sản'],['Sò huyết nướng'],"9 Phố Cổ, Gần Chợ Lớn, Vũng Tàu","['Không quá đặc sắc.', 'Thất vọng! không tươi']",3.1
Phở Ngô,"['Đồ ăn Việt Nam', 'Nướng']","['Chả cá Lã Vọng', 'Bún chả', 'Cá kho tộ', 'Hàu nướng mỡ hành', 'Bò nướng tảng']","114 Phố Cổ, Thanh Xuân, Hà Nội","['Đồ ăn ngon, phục vụ nhiệt tình sẽ ủng hộ dài dài.', 'Không chê vào đâu được. đậm đà hương vị']",5.0
Bếp Đỗ 24/7,"['Nướng', 'Chay']","['Cơm chay', 'Nem chay', 'Sườn nướng BBQ', 'Đậu hũ sốt nấm', 'Hàu nướng mỡ hành', 'Lẩu nấm chay']","188 Phố Cổ, Long Biên, Hà Nội","['Rất hài lòng. không gian thoáng đãng rất đáng tiền.', 'Đồ ăn ngon, giá cả hợp lý rất đáng tiền.']",4.9
The Phan's Kitchen,"['Phở', 'Đồ ăn Việt Nam', 'Cơm văn phòng']","['Cơm rang dưa bò', 'Cơm cá kho', 'Thịt kho tàu', 'Cơm gà xối mỡ', 'Cơm sườn', 'Phở xào']","51 Đường Thanh Niên, Ven Sông, Hải Phòng","['Ngon xuất sắc! trình bày đẹp mắt chắc chắn sẽ giới thiệu cho bạn bè.', 'Tuyệt vời! phục vụ nhiệt tình rất đáng tiền.']",5.0
Chả Cá Trương,['Bún'],"['Bún đậu mắm tôm', 'Bún ốc']","132 Phố Cổ, Ven Sông, Huế","['Đồ ăn ngon, đậm đà hương vị', 'Sẽ quay lại. món ăn rất vừa miệng']",5.0
Tiệm Vũ Sài Gòn,['Món Thái'],"['Tom Yum Goong', 'Gỏi đu đủ Som Tum', 'Cà ri xanh', 'Cá hấp chanh']","88 Đường Giải Phóng, Khu Dân Cư, Cần Thơ",['Rất hài lòng. đậm đà hương vị chắc chắn sẽ giới thiệu cho bạn bè.'],4.9
The Lê's Kitchen,['Món Á'],"['Pad Thái', 'Dimsum tổng hợp', 'Sushi Set']","157 Đường Kim Mã, Cầu Giấy, Hà Nội","['Sẽ quay lại. trình bày đẹp mắt rất đáng tiền.', 'Quán này đỉnh! món ăn rất vừa miệng', 'Ngon lắm!']",4.2
